Id,Series,Number,Surname,Name,FatherName,Sex,DateOfBirth
1,1234,567890,Иванов,Иван,Иванович,М,1990-05-10
2,1234,567891,Петрова,Мария,Сергеевна,Ж,1985-03-22
3,1234,567892,Сидоров,Алексей,Михайлович,М,1988-07-30
4,1234,567893,Кузнецова,Анна,Дмитриевна,Ж,1992-09-19
5,1234,567894,Семёнов,Дмитрий,Николаевич,М,1987-12-25
6,1234,567895,Леонов,Сергей,Александрович,М,1991-04-12
7,1234,567896,Морозова,Елена,Игоревна,Ж,1994-11-11
8,1234,567897,Ковалёв,Александр,Валерьевич,М,1986-02-05
9,1234,567898,Степанова,Татьяна,Петровна,Ж,1993-08-30
10,1234,567899,Григорьев,Виктор,Николаевич,М,1982-10-17
