Id,Name,Password,Email,Phone,CreatedAt,UpdatedAt,RoleId
1,Джон Смит,pass1234,john.smith@email.com,123-456-7890,2023-01-01 08:00:00,2023-01-01 08:00:00,1
2,Эмили Джонсон,pass5678,emily.johnson@email.com,234-567-8901,2023-02-15 09:15:00,2023-02-15 09:15:00,2
3,Майкл Браун,pass9101,michael.brown@email.com,345-678-9012,2023-03-20 10:30:00,2023-03-20 10:30:00,2
4,Оливия Уильямс,pass1122,olivia.williams@email.com,456-789-0123,2023-04-25 11:45:00,2023-04-25 11:45:00,3
5,Дэвид Джонс,pass3344,david.jones@email.com,567-890-1234,2023-06-30 12:00:00,2023-06-30 12:00:00,2
6,Анна Миллер,pass5566,anna.miller@email.com,678-901-2345,2023-08-10 13:15:00,2023-08-10 13:15:00,3
7,Джеймс Дэвис,pass7788,james.davis@email.com,789-012-3456,2023-09-15 14:30:00,2023-09-15 14:30:00,2
8,Изабелла Гарсия,pass9900,isabella.garcia@email.com,890-123-4567,2023-11-12 15:45:00,2023-11-12 15:45:00,3
9,Даниэль Мартинес,pass1010,daniel.martinez@email.com,901-234-5678,2023-01-20 16:00:00,2023-01-20 16:00:00,2
10,Шарлотта Эрнандес,pass1212,charlotte.hernandez@email.com,012-345-6789,2023-03-18 17:30:00,2023-03-18 17:30:00,4
